"total_size","draw","method","accuracy","auc"
50,22,"SVM",0.7,0.832
50,22,"KNN",0.66,0
50,22,"RF",0.68,0.76
50,22,"XGB",0.78,0.864
50,23,"LOGIS",0.78,0.824
50,23,"SVM",0.78,0.872
50,23,"KNN",0.78,0
50,23,"RF",0.78,0.856
50,23,"XGB",0.76,0.764
50,24,"LOGIS",0.7,0.76
50,24,"SVM",0.72,0.768
50,24,"KNN",0.66,0
50,24,"RF",0.66,0.708
50,24,"XGB",0.76,0.792
50,25,"LOGIS",0.76,0.84
50,25,"SVM",0.82,0.888
50,25,"KNN",0.78,0
50,25,"RF",0.76,0.856
50,25,"XGB",0.72,0.812
50,26,"LOGIS",0.74,0.744
50,26,"SVM",0.74,0.768
50,26,"KNN",0.62,0
50,26,"RF",0.7,0.72
50,26,"XGB",0.76,0.88
50,27,"LOGIS",0.78,0.92
50,27,"SVM",0.84,0.904
50,27,"KNN",0.82,0
50,27,"RF",0.8,0.876
50,27,"XGB",0.74,0.776
50,28,"LOGIS",0.8,0.76
50,28,"SVM",0.78,0.8
50,28,"KNN",0.7,0
50,28,"RF",0.72,0.772
50,28,"XGB",0.72,0.84
50,29,"LOGIS",0.78,0.832
50,29,"SVM",0.82,0.88
50,29,"KNN",0.68,0
50,29,"RF",0.82,0.848
50,29,"XGB",0.74,0.808
50,30,"LOGIS",0.72,0.776
50,30,"SVM",0.78,0.84
50,30,"KNN",0.76,0
50,30,"RF",0.72,0.776
50,30,"XGB",0.72,0.784
60,1,"LOGIS",0.633333333333333,0.7
60,1,"SVM",0.6,0.755555555555556
60,1,"KNN",0.6,0
60,1,"RF",0.633333333333333,0.711111111111111
60,1,"XGB",0.683333333333333,0.75
60,2,"LOGIS",0.766666666666667,0.805555555555556
60,2,"SVM",0.8,0.855555555555556
60,2,"KNN",0.766666666666667,0
60,2,"RF",0.8,0.838888888888889
60,2,"XGB",0.7,0.813888888888889
60,3,"LOGIS",0.766666666666667,0.822222222222222
60,3,"SVM",0.783333333333333,0.8
60,3,"KNN",0.7,0
60,3,"RF",0.7,0.752777777777778
60,3,"XGB",0.75,0.8
60,4,"LOGIS",0.716666666666667,0.805555555555556
60,4,"SVM",0.75,0.75
60,4,"KNN",0.7,0
60,4,"RF",0.7,0.711111111111111
60,4,"XGB",0.75,0.783333333333333
60,5,"LOGIS",0.733333333333333,0.761111111111111
60,5,"SVM",0.733333333333333,0.794444444444445
60,5,"KNN",0.733333333333333,0
60,5,"RF",0.666666666666667,0.736111111111111
