"MeanDecreaseGini","genes"
0.0930714285714286,"hsa.mir.376a.2"
0.305973032456611,"hsa.mir.376b"
0.187121897010182,"hsa.mir.376c"
0.138756958139334,"hsa.mir.377"
0.230998711198646,"hsa.mir.378a"
0.0198319327731092,"hsa.mir.378b"
0.244915202686101,"hsa.mir.378c"
0.142208953756941,"hsa.mir.378d.1"
0.109039311829815,"hsa.mir.378d.2"
0,"hsa.mir.378e"
0.0195121951219512,"hsa.mir.378f"
0,"hsa.mir.378g"
0.0285714285714286,"hsa.mir.378h"
0.0816104117607156,"hsa.mir.378i"
0,"hsa.mir.378j"
0.106017565868523,"hsa.mir.379"
1.00614212927734,"hsa.mir.380"
0.452281273564929,"hsa.mir.381"
0.289155912370728,"hsa.mir.382"
0.601631709952441,"hsa.mir.383"
0,"hsa.mir.384"
0.0718467114702106,"hsa.mir.3907"
0,"hsa.mir.3908"
0.03,"hsa.mir.3909"
0.121386974016986,"hsa.mir.3910.1"
0,"hsa.mir.3910.2"
0.048770673486786,"hsa.mir.3911"
3.1389580312864,"hsa.mir.3912"
0.77874300583331,"hsa.mir.3913.1"
1.60326024919404,"hsa.mir.3913.2"
0.0221179782519651,"hsa.mir.3914.1"
0,"hsa.mir.3914.2"
0,"hsa.mir.3915"
0.0413033184572292,"hsa.mir.3916"
0.516974027227956,"hsa.mir.3917"
0.0471428571428571,"hsa.mir.3918"
0.319670830842165,"hsa.mir.3919"
0.0633829688731858,"hsa.mir.3920"
0,"hsa.mir.3921"
0.200923682659507,"hsa.mir.3922"
0.0919991741326052,"hsa.mir.3923"
0,"hsa.mir.3924"
0.0891010435047835,"hsa.mir.3925"
0.193610165565429,"hsa.mir.3926.1"
0.126399384318306,"hsa.mir.3926.2"
0.137362126375735,"hsa.mir.3927"
0.526774384276377,"hsa.mir.3928"
0.0880528684731561,"hsa.mir.3929"
0.331553129807455,"hsa.mir.3934"
0,"hsa.mir.3935"
0.0187379300965594,"hsa.mir.3936"
0.0307450980392157,"hsa.mir.3937"
0.0188888888888889,"hsa.mir.3938"
0.0451764705882353,"hsa.mir.3939"
0.260720504163866,"hsa.mir.3940"
0,"hsa.mir.3941"
0.0953333333333334,"hsa.mir.3942"
0.173366977608395,"hsa.mir.3943"
0.101759398496241,"hsa.mir.3944"
0,"hsa.mir.3945"
0.01,"hsa.mir.3960"
0,"hsa.mir.3972"
0,"hsa.mir.3973"
0,"hsa.mir.3974"
